model_name,train_class,const,project_age_q,quarters_to_delivery,remaining_inventory_share,log_avg_price_sqm_q,log_total_lots,log_price_to_market_year_ratio,class_group_Комфорт,class_group_Неизвестно,class_group_Премиум,class_group_Эконом,class_group_Элитный,quarter_num_2,quarter_num_3,quarter_num_4,log_remaining_lots_feat,__alpha__,__kappa__
NB_offset,all_classes,-2.207779990349504,-0.5627462093900204,-0.10552934934090667,-2.0075078149123264,-0.5483544647701339,-0.1557107315784669,0.22049241977583314,-0.07727829717389137,-0.03042640435669341,0.5260228863132285,0.36453683934426534,0.23340105661422691,0.04530381210537998,0.3291879885797398,0.018869066060050652,,2.41110492425501,
Poisson_offset,all_classes,-2.6679611792333238,-0.20532365842712538,-0.1547601398734115,-0.8504201935041226,-0.30093847280161956,-0.4183954015451031,0.0462860246523353,-0.06265545977120378,-0.3893448366577986,0.01258406779968667,0.05348838394801966,-0.1643904436889751,0.11297086545592315,0.28410929456873524,0.054108802387909355,,,
NB_feature_remaining_lots,all_classes,3.8454210847869352,-0.11424965121775123,-0.22557011050563583,-0.10352205542963476,-0.30595194689640964,0.9264212123959324,0.004448096398544198,-0.07685875157981298,-0.5334345268743431,0.20239173512107692,-0.2108210235287592,0.1452234930480513,0.08072660393060542,0.2785994979166814,0.03355897531657825,0.10622427525073357,1.5,
Poisson_feature_remaining_lots,all_classes,3.88266480315022,-0.09462243659060571,-0.18236918478942735,-0.08863470431060447,-0.2749820198659301,0.7763086342156879,0.049236038920958305,0.012087600780218106,-0.41929660916467587,-0.058217660122157504,0.024824856714017657,-0.23202619954042103,0.10820664163673706,0.27774716098569646,0.049350457548680685,0.14603854278109962,,
BetaBinomial,all_classes,-1.8736070636913071,-0.361621031448685,-0.13653558822361284,-0.9278695619291394,-0.3778135448239525,-0.0775442940335365,0.20038392220356369,-0.33046436614226726,-0.341545936024538,0.34070658430575773,-0.1454125066377904,0.1373549406698894,0.06371533395224807,0.20359393624468455,0.020819577194063268,,,3.512063190372922
NB_offset,Бизнес,-2.4430494533546723,-0.5502922294081167,-0.15644259233512592,-1.6087840596173897,-0.37038423999762976,-0.13624894984713848,0.11640154124113306,,,,,,-0.031503726135414745,0.15443728320323247,-0.045160478418532525,,1.5,
Poisson_offset,Бизнес,-2.8284111629931474,-0.17607945645941211,-0.16992620653255183,-0.7201054833750308,-0.16924784917708532,-0.3519612714594501,0.09426686456670985,,,,,,0.07671937206996078,0.24096100079454832,0.040949871687538754,,,
NB_feature_remaining_lots,Бизнес,3.8699956220270044,-0.16643993264345633,-0.2208337895390564,-0.2304723648234713,-0.2127168160582155,0.7124518874153756,0.03869061565594968,,,,,,0.0115993730786722,0.22758779333786372,0.012767683167335994,0.33388488125545923,1.1481393503199695,
Poisson_feature_remaining_lots,Бизнес,3.889850793494507,-0.11596424039633917,-0.18237154692151142,-0.2011269900795922,-0.14051647859752184,0.5865939890778636,0.08635803974946746,,,,,,0.07535017706161284,0.23268117019778925,0.041624236040770986,0.3739356327149831,,
BetaBinomial,Бизнес,-2.2962855138529656,-0.4215485508291505,-0.18014883588377867,-0.9126136041726292,-0.2403175914003995,-0.06299644837457555,0.12202563624549478,,,,,,0.020449992664376276,0.21552867673030748,-0.012970229484656998,,,5.978247864127189
NB_offset,Комфорт,-1.7710849596989693,-0.749136067717951,-0.06176066844700543,-2.216508962819493,-0.306475014241895,-0.1698008229479731,0.1274341377521602,,,,,,0.02438023965386215,0.28413852636867143,-0.027476485455310853,,2.479757335564524,
Poisson_offset,Комфорт,-2.509308101276198,-0.22780818579434928,-0.17253270291910397,-0.8506790755275114,-0.1991140908243948,-0.4229837076534294,0.04339158117018416,,,,,,0.08813748978130964,0.24074885650947198,0.04683523379686699,,,
NB_feature_remaining_lots,Комфорт,4.254800700618054,-0.12049895594020163,-0.2800241037971118,0.0912797277639142,-0.20923160520240325,0.9317132467729651,-0.038688599899806775,,,,,,0.0933487429119948,0.29039012172084605,0.07661824321564237,-0.04383238150036345,1.653171557043016,
Poisson_feature_remaining_lots,Комфорт,4.333234516793269,-0.07503161208782132,-0.2001506526520996,0.017756947877128726,-0.1972404560875345,0.740048533522959,0.04604849895603724,,,,,,0.0796974744941863,0.23870790685889598,0.03838834693895321,0.07590408845200979,,
BetaBinomial,Комфорт,-1.8398986185484185,-0.3376648625508068,-0.13961938501193305,-0.9010598148395421,-0.36102514314198303,-0.07914544408522178,0.17463515281200057,,,,,,0.14695043340398825,0.25624214824224245,0.09350273634931557,,,2.6199246478253673
NB_offset,Неизвестно,-2.9396687106773354,,,-2.140964753113951,-0.611328139285426,,0.3275844436402489,,,,,,0.08160030706798506,0.17436303059499986,-0.1352639959748495,,2.5,
Poisson_offset,Неизвестно,-3.324450835425125,,,-1.1975458743572467,-0.7165314403793412,,0.02761631465003448,,,,,,0.007617195111943344,-0.0427906020843104,-0.40231207672536745,,,
