model_name,train_class,const,project_age_q,quarters_to_delivery,remaining_inventory_share,log_avg_price_sqm_q,log_total_lots,log_price_to_market_year_ratio,class_group_Комфорт,class_group_Неизвестно,class_group_Премиум,class_group_Эконом,class_group_Элитный,quarter_num_2,quarter_num_3,quarter_num_4,log_remaining_lots_feat,__alpha__,__kappa__
NB_offset,all_classes,-2.0705110549951358,-0.09560389159781016,0.15845001290076086,-1.8865965097170232,-0.3211027302856101,-0.21891306794787785,0.11436298903131294,-0.09997973244723758,-0.26212662670100867,-0.22042384118641112,-0.07891796771764377,0.046109958355564286,0.09068919617187983,0.22029503956630764,-0.03720178173736878,,1.880626604194079,
Poisson_offset,all_classes,-2.6291649141651154,0.045119170809562126,-0.028443696585819477,-0.7960621427444091,-0.05317031062697671,-0.30050171593317265,-0.06852203452810722,0.015781938623994483,-0.38001509028856545,-0.21768890960450907,-0.2271913336898689,-0.060619345410321754,0.10071051315182222,0.2530361628979858,-0.040582983972286976,,,
NB_feature_remaining_lots,all_classes,3.92270833850774,0.08774312621644302,-0.16652424900100601,-0.11418697650165599,-0.11329820179737458,0.8790095346715513,-0.05122584313566095,-0.06887924985899416,-0.488603842310208,-0.13146302986205358,-0.1456707957864073,-0.15896574997239066,0.0666110011668928,0.186603308498868,-0.055913197002622275,0.022589205226458783,1.5,
Poisson_feature_remaining_lots,all_classes,3.849309821855806,0.07254697492919936,-0.07321030458645314,-0.16876750476160152,-0.03248538555265995,0.8117187571481556,-0.07806886324242965,0.024365820729304353,-0.42184215021453453,-0.2187630452818945,-0.2814594600517689,-0.09021822292321555,0.0968759203662815,0.2584600124861262,-0.03608893737747607,0.1774930423896096,,
BetaBinomial,all_classes,-1.758890587078979,0.021142746035165305,0.03992798229932269,-0.9322622353181524,-0.4150052607204996,-0.15617454856124846,0.21991525579069776,-0.3438355282379658,-0.4823221128429281,-0.0741168397766417,-0.19610716430221883,0.09549641849530253,0.057086297250256386,0.11040453520152042,-0.10582677884836808,,,4.458061721242076
NB_offset,Бизнес,-2.103517333993649,-0.3052392120669869,0.14437850143156078,-1.8084600852423707,-0.25737754874298574,-0.13601021610218714,0.015209142060279162,,,,,,0.08807148980052551,0.21588131150174583,-0.047325479832071804,,1.5,
Poisson_offset,Бизнес,-2.456946124652936,0.060718564311284744,0.06993352348077873,-0.8861704974742491,-0.19638488633191653,-0.3642478214160183,-0.002594940699014652,,,,,,0.04288674892427857,0.15359768618535244,-0.1075099018205725,,,
NB_feature_remaining_lots,Бизнес,3.553957531388521,0.08777983336667873,-0.10532434773558953,-0.12137048750647374,-0.07902505044804145,0.780089182475141,-0.06524342737823464,,,,,,0.01572253125017737,0.11410781967241834,-0.12362968978317301,0.07431626402404239,0.772493270124639,
Poisson_feature_remaining_lots,Бизнес,3.5613649570357278,0.1584546335417384,0.0031252645928997163,-0.14264790726042648,-0.1724123639520208,0.7043886934242741,-0.02077574688797025,,,,,,0.0337599795598746,0.14988426028399846,-0.09777035737324957,0.06814494919300532,,
BetaBinomial,Бизнес,-1.9401447452561096,-0.0632170583545518,0.09585099991800079,-1.0009338469466644,-0.2887326044182375,-0.16965794597025835,0.14511513909116186,,,,,,0.04954479725373772,0.10698350062521474,-0.13468355905630092,,,5.942937355595738
NB_offset,Комфорт,-2.1272585625814355,-0.09540289433712529,0.360402903822476,-1.8317368049951424,-0.18627192008569707,-0.11450869570661956,0.17305512331145384,,,,,,0.08127859760829763,0.2258941193100812,-0.011416359151548691,,1.5,
Poisson_offset,Комфорт,-2.6630307974758036,0.007872558945202786,-0.07552253160567612,-0.7137423810225119,0.021493658719886243,-0.22883836773232896,-0.051677832005488374,,,,,,0.10624052439345043,0.2026661823468896,-0.009775606005946774,,,
NB_feature_remaining_lots,Комфорт,4.216007093932521,0.07287068489268053,-0.1739073653021072,-0.00029257112947460957,-0.0194093831569339,0.8845977827214769,-0.03994363508644434,,,,,,0.11045328210395321,0.2049714782532526,0.003985842888901259,-0.02478616504351554,1.4946788613691129,
Poisson_feature_remaining_lots,Комфорт,4.225365492279538,0.05030872778941019,-0.11559248115953703,-0.1253599793121236,0.004871490331547286,0.7162261148377863,-0.028734379073999686,,,,,,0.10108674796906465,0.1922886626561191,-0.025491137688634143,0.22846003310030333,,
BetaBinomial,Комфорт,-2.120368611960872,0.0766874444538056,0.06168918269056313,-0.7968227631923627,-0.23281016998122103,-0.10338320763417927,0.12304709737102049,,,,,,0.06691326204630622,0.14102301100275025,-0.06842493494408332,,,5.095892659225444
NB_offset,Неизвестно,-3.334713995511098,,-0.43346677133820605,-1.5012764497836255,0.22347476734975763,-0.24896085082065667,-0.03148162845050187,,,,,,0.4034468638887083,0.5959080612091378,0.1258438735946095,,3.0376988688055953,
Poisson_offset,Неизвестно,-3.5223338874605883,,-0.04213287236380345,-0.811664315912767,0.2963708521543348,-0.0179900793607968,-0.156544909339672,,,,,,0.32640519797384804,0.4214680241516923,0.05769365589286504,,,
NB_feature_remaining_lots,Неизвестно,2.984934602145046,,-0.375849921764078,-0.2928216693855313,0.2757163892552779,0.6714140845260355,-0.07086263205328815,,,,,,0.35380751549836964,0.4901616139002196,0.12755156633683623,-0.04906967540323631,3.0376988688055953,
Poisson_feature_remaining_lots,Неизвестно,3.022725835621273,,-0.07397012718554702,-0.23175173315936376,0.296343278635838,0.8108294250424741,-0.18194482313631277,,,,,,0.33274872467097294,0.43033576372451543,0.09122688202258744,-0.0011536363452361864,,
BetaBinomial,Неизвестно,-2.56354018873382,,-0.4641723723004374,-0.7420906721111632,0.12573102549415877,-0.364372059664866,-0.05874832861978697,,,,,,0.06592045636570008,0.12090663110148,-0.017603560692259167,,,3.957877512844745
