model_name,train_class,const,project_age_q,quarters_to_delivery,remaining_inventory_share,log_avg_price_sqm_q,log_total_lots,log_price_to_market_year_ratio,class_group_Комфорт,class_group_Эконом,class_group_Элитный,quarter_num_2,quarter_num_3,quarter_num_4,log_remaining_lots_feat,__alpha__,__kappa__
NB_offset,all_classes,-3.7942489221565747,-0.3800084920345717,-0.7842546301462152,-1.311768813653686,-0.3499668246236268,-0.45825122000887747,0.17384040332722087,0.17197502784689675,-0.1334411938214113,1.1733136809544302,0.3036715601787382,0.30562201289687807,-0.04445700717377451,,2.5,
Poisson_offset,all_classes,-4.243110444202227,-0.1818124882171591,-0.7903460122482625,-0.556104941830438,-0.28235371574281315,-0.378248024889895,0.2383473679255045,0.38260741510064167,0.09527399545447926,1.412594350257525,0.12245494095509263,0.2680786743346242,0.029861887271558855,,,
NB_feature_remaining_lots,all_classes,2.7704880859051384,-0.14401317768235603,-0.9020372973015366,0.05228735651280706,0.0023159397549014967,0.6963235616429111,-0.037496922342279186,0.4378991593925058,0.3176824294313428,0.8056453805521161,0.17188185557484534,0.23606731668166492,0.02737753186900343,-0.1484247521432705,2.5,
Poisson_feature_remaining_lots,all_classes,2.673361658537654,-0.20035621663932646,-0.8509315393879834,-0.09338701638961076,-0.21496682865205802,0.8050002462561577,0.23534957984040691,0.4940609242659102,0.23998051831633238,1.435422416008723,0.11123850862361759,0.25658148230060646,0.022906594459493956,0.0572551022426189,,
BetaBinomial,all_classes,-3.296625025325573,-0.16487550418216407,-0.517112536421609,-0.584014638956383,-0.0748055457910413,-0.0804164636564074,-0.04574483067689779,0.01760617506758126,-0.25980175796885496,1.2035890283393547,0.2098961054112584,0.19410273873712725,0.12240486497101129,,,6.695736906857992
NB_offset,Бизнес,-5.644862209813081,1.4175690995295036,-0.7365382149171327,-1.231043537727354,0.5495914633867718,-1.3977104749854188,-0.04629321121395652,,,,1.5782298173500375,1.3703284130797186,0.5587107981484617,,4.474356477801337,
Poisson_offset,Бизнес,-5.0500946168453025,0.47583364476326107,-0.5265615732394671,-0.7287859862294284,-0.20009041616267711,-0.5265877391394069,0.1955646778053159,,,,0.963309436309717,0.44042797403335354,0.1350824671619244,,,
NB_feature_remaining_lots,Бизнес,1.069862670359391,1.4050656089898872,-0.8425780999042282,0.21332696549408456,0.6264484691900287,-0.23024907937639702,-0.13151482073511503,,,,1.4305974767101883,1.1255510752323672,0.5231216281009174,-0.32495324847244134,2.2371782389006687,
Poisson_feature_remaining_lots,Бизнес,1.7604308060219056,0.6312396240994322,-0.5205587623607965,0.08186315920015287,-0.05740283743807898,0.5729736761923266,0.10953492838165699,,,,0.9468169212082632,0.4416737075564348,0.17349080799354133,-0.2478233479680749,,
BetaBinomial,Бизнес,-4.5088422107011175,0.3723280240311537,-0.3479017305055017,-1.09976526300302,-0.12628472975436256,-0.43475158590015306,0.20769152994347154,,,,0.4261510386897396,0.4374533644529285,0.14387936709456323,,,15.714543727883107
NB_offset,Комфорт,-3.608371440521103,-0.7539241173492266,-1.2526926379516232,-1.3260308512146657,-0.26551795640294923,-0.46755930173147375,0.16575071040252212,,,,0.028937121909567983,0.10098440489038686,-0.2874458364263928,,2.5,
Poisson_offset,Комфорт,-3.958817707621726,-0.4648881753272701,-1.0811553527583753,-0.44094067592641994,-0.0006777316355743862,-0.26124267209345164,0.09410328980445402,,,,-0.13017643358255873,0.06860111807619412,-0.010186620011193614,,,
NB_feature_remaining_lots,Комфорт,3.6192970785978735,-0.456392608869942,-1.3025743048710086,-0.013504288215602744,-0.013162976276877772,0.6074646173834173,-0.043009854397655305,,,,-0.062391450475655516,0.10752929464488946,-0.10503235114629293,-0.13143295217253567,2.5,
Poisson_feature_remaining_lots,Комфорт,3.5503482743419212,-0.4620986565395239,-1.1532911922631537,0.0005621483774606159,0.031736855725650694,0.8923305709416992,0.09247326801141038,,,,-0.14037095528548071,0.06216675782284129,-0.01617376870046122,-0.11597162798208863,,
BetaBinomial,Комфорт,-3.304084979885509,-0.4152541799827815,-0.7771058711837527,-0.4810651785243962,-0.02711018909938945,-0.12105414269382106,0.03531120963478648,,,,0.0721228550906553,0.07171069768857953,-0.007576935799554593,,,7.852220779369028
NB_offset,Эконом,-3.7812082373549067,-0.34116996438527314,-0.8991064017441983,-0.888548458449488,0.6094678877933595,-0.2013509115847226,-0.5449368204707635,,,,0.6768096178532546,0.7209940288381256,0.36986585444432796,,2.5,
Poisson_offset,Эконом,-3.7068236228183418,0.012115218239694747,-0.4615121954320868,-0.5903385911524918,-0.022583654427202563,-0.12253127135832698,-0.061639617108837294,,,,0.3853037903103259,0.3270602936616529,0.15094801014069226,,,
NB_feature_remaining_lots,Эконом,2.5696862088841117,-0.22256686245315752,-0.8669207385898574,0.032359411646687666,0.591490653316574,0.5579179622585754,-0.41640488950083876,,,,0.5110186035457732,0.4362034382466806,0.13567866507947923,0.14957762430789304,2.5,
Poisson_feature_remaining_lots,Эконом,2.6567439758948477,0.03585906847756659,-0.4947415179103045,-0.17704598834008334,0.04430860113922164,0.5563546123664251,-0.07366609520058467,,,,0.342742288660562,0.3034169886399677,0.14120666635210627,0.33041742320256756,,
BetaBinomial,Эконом,-3.2533929680066804,-0.10299399246719686,-0.5777349570544011,-0.5949803562929842,0.6163957660026782,0.014168420155272556,-0.5684865716878709,,,,0.4577302312362621,0.3297666020136058,0.15824780645962896,,,5.516735800734114
