quarter,key_rate_avg_q,key_rate_eoq,key_rate_min_q,key_rate_max_q,key_rate_obs_n,key_rate_log_return_q,key_rate_qoq_change,usd_rub_avg_q,usd_rub_eoq,usd_rub_min_q,usd_rub_max_q,usd_rub_obs_n,usd_rub_log_return_q,usd_rub_qoq_change,eur_rub_avg_q,eur_rub_eoq,eur_rub_min_q,eur_rub_max_q,eur_rub_obs_n,eur_rub_log_return_q,eur_rub_qoq_change,mortgage_total_count_q,mortgage_total_count_q_qoq_change,mortgage_total_count_q_log_return_q,mortgage_total_volume_mln_rub_q,mortgage_total_volume_mln_rub_q_qoq_change,mortgage_total_volume_mln_rub_q_log_return_q,mortgage_total_rate_pct_q,mortgage_total_rate_pct_q_qoq_change,mortgage_total_rate_pct_q_log_return_q,mortgage_ddu_count_q,mortgage_ddu_count_q_qoq_change,mortgage_ddu_count_q_log_return_q,mortgage_ddu_volume_mln_rub_q,mortgage_ddu_volume_mln_rub_q_qoq_change,mortgage_ddu_volume_mln_rub_q_log_return_q,mortgage_ddu_rate_pct_q,mortgage_ddu_rate_pct_q_qoq_change,mortgage_ddu_rate_pct_q_log_return_q,mortgage_ddu_count_share_q,mortgage_ddu_volume_share_q,mortgage_avg_ticket_mln_rub_q,mortgage_ddu_avg_ticket_mln_rub_q,mredc_avg_q,mredc_eoq,mredc_min_q,mredc_max_q,mredc_obs_n,mredc_log_return_q,mredc_qoq_change,imoex_avg_q,imoex_eoq,imoex_min_q,imoex_max_q,imoex_obs_n,imoex_log_return_q,imoex_qoq_change,rgbi_avg_q,rgbi_eoq,rgbi_min_q,rgbi_max_q,rgbi_obs_n,rgbi_log_return_q,rgbi_qoq_change,subsidized_mortgage_2020_active_q,family_mortgage_new_rules_active_q,it_mortgage_new_rules_active_q
2013Q1,,,,,,,,30.41582105263158,31.0834,29.9251,31.0834,57,,,40.18508947368421,39.8023,39.6385,40.8674,57,,,75.56,,,265.2,,,12.783333333333333,,,,,,,,,,,,,,3.5097935415563786,,,,,,,,,1502.718448275862,1438.57,1417.0,1562.93,58,,,138.62827586206896,137.67,137.02,139.82,58,,,0,0,0
2013Q2,,,,,,,,31.660954237288134,32.709,30.8814,32.9097,59,0.050976354766721244,1.6256000000000022,41.3224406779661,42.718,39.8168,43.3526,59,0.07069567751121397,2.915700000000001,93.88999999999999,18.329999999999984,0.21719684163714703,344.27000000000004,79.07000000000005,0.2609419749224724,12.563333333333333,-0.22000000000000064,-0.01735972053422108,,,,,,,,,,,,3.6667376717435305,,,,,,,,,1368.4501612903227,1330.46,1281.89,1448.42,62,-0.07812481752808331,-108.1099999999999,137.7698387096774,133.47,129.9,141.65,62,-0.030982783588791918,-4.199999999999989,0,0,0
2013Q3,5.5,5.5,5.5,5.5,14.0,,,32.79849230769231,32.3451,31.5892,33.4656,65,-0.01118772823323022,-0.363900000000001,43.428386153846155,43.6497,42.1033,44.3879,65,0.021576032333146422,0.9316999999999993,111.59000000000003,17.700000000000045,0.17270755592715403,381.42999999999995,37.15999999999991,0.10250111441614074,12.44,-0.12333333333333307,-0.00986543129990114,,,,,,,,,,,,3.4181378259700677,,,,,,,,,1403.6657575757577,1462.82,1333.35,1487.19,66,0.09484133251077953,132.3599999999999,134.6778787878788,134.86,132.5,136.41,66,0.010360469820375862,1.3900000000000148,0,0,0
2013Q4,5.5,5.5,5.5,5.5,92.0,0.0,0.0,32.54386153846154,32.7292,31.6618,33.2632,65,0.011805104647667264,0.38409999999999656,44.292309230769234,44.9699,43.5123,45.3688,65,0.029796967665692176,1.3201999999999998,129.46999999999997,17.87999999999994,0.14861775387294518,466.2900000000001,84.86000000000013,0.20088041051259609,12.296666666666667,-0.14333333333333265,-0.011588864370558838,,,,,,,,,,,,3.601529311809687,,,,,,,,,1492.3521875,1504.08,1429.25,1533.61,64,0.027815335993691903,41.25999999999999,134.15578125,133.27,132.02,135.96,64,-0.011860057714800476,-1.5900000000000034,0,0,0
2014Q1,5.983333333333333,7.0,5.5,7.0,90.0,0.24116205681688796,1.5,35.143615789473685,35.6871,32.6587,36.6505,57,0.0865216331403178,2.957900000000002,48.17113157894737,49.0519,45.0559,50.9442,57,0.08688554416939187,4.082000000000001,112.07,-17.399999999999977,-0.1443255180066192,396.88,-69.41000000000008,-0.1611737901701229,12.13,-0.16666666666666607,-0.013646499984515614,,,,,,,,,,,,3.5413580797715714,,,,,,,,,1422.4025423728813,1369.29,1237.43,1507.49,59,-0.09388905827454241,-134.78999999999996,129.56949152542373,126.83,123.4,133.28,59,-0.04952953851229758,-6.440000000000012,0,0,0
2014Q2,7.351648351648351,7.5,7.0,7.5,91.0,0.06899287148695143,0.5,35.024245,33.6306,33.6306,36.0813,60,-0.05935291214088112,-2.0564999999999998,48.05963833333333,45.8251,45.8251,49.886,60,-0.06804694530650757,-3.2268000000000043,127.99000000000001,15.920000000000016,0.1328284598037648,466.04999999999995,69.16999999999996,0.16065895651437234,12.243333333333334,0.11333333333333329,0.009299848207507289,,,,,,,,,,,,3.6413001015704345,,,,,,,,,1402.642131147541,1476.38,1280.12,1518.83,61,0.07530078828972897,107.09000000000015,126.7516393442623,128.5,123.63,128.78,61,0.013081297255936875,1.6700000000000017,0,0,0
2014Q3,7.853260869565218,8.0,7.5,8.0,92.0,0.06453852113757108,0.5,36.16238181818182,39.3866,33.8353,39.3866,66,0.157989290127178,5.756,47.98077727272727,49.954,46.1649,50.0582,66,0.0862706060300682,4.128900000000002,99.05000000000001,-28.939999999999998,-0.25632736272314105,385.08000000000004,-80.96999999999991,-0.19084181959740043,12.443333333333333,0.1999999999999993,0.016203433094916786,,,,,,,,,,,,3.8877334679454822,,,,,,,,,1432.2901515151514,1411.07,1333.53,1516.75,66,-0.04524486377192005,-65.31000000000017,124.49378787878788,124.42,121.67,128.48,66,-0.032265965248400974,-4.079999999999998,0,0,0
2014Q4,10.277173913043478,17.0,8.0,17.0,92.0,0.7537718023763804,9.0,47.55393125,56.2584,39.3836,67.7851,64,0.3565297063353441,16.8718,59.36186875,68.3427,49.9484,84.589,64,0.3134321722789575,18.388699999999993,122.64999999999998,23.599999999999966,0.21370999755993836,488.5,103.41999999999996,0.23788836657307222,12.853333333333333,0.41000000000000014,0.03241817681585202,,,,,,,,,,,,3.9828781084386473,,,,,,,,,1456.60796875,1396.61,1360.33,1606.84,64,-0.010300410195183574,-14.460000000000036,116.983125,105.36,97.86,124.26,64,-0.16627988165184782,-19.060000000000002,0,0,0
2015Q1,15.533333333333333,14.0,14.0,17.0,90.0,-0.19415601444095776,-3.0,63.191936363636366,58.4643,56.2376,69.664,55,0.03846094827657076,2.2058999999999997,71.02302,63.3695,62.0811,78.79,55,-0.0755520811119128,-4.973199999999991,53.72,-68.92999999999998,-0.8255493990494616,184.24,-304.26,-0.9751002159704081,14.753333333333332,1.8999999999999986,0.13786586488055885,,,,,,,,,,,,3.4296351451973197,,,,,,,,,1664.3003389830508,1626.18,1435.66,1838.18,59,0.15218583445523848,229.57000000000016,107.50627118644067,112.87,99.17,113.82,59,0.06885365653250908,7.510000000000005,0,0,0
2015Q2,12.895604395604396,11.5,11.5,14.0,91.0,-0.19671029424605413,-2.5,52.7653,55.524,49.1777,58.3536,61,-0.05160095183245783,-2.9403000000000006,58.25827704918033,61.5206,52.9087,63.3221,61,-0.02961059505974184,-1.8489000000000004,60.42,6.700000000000003,0.11753480430348962,237.07999999999998,52.839999999999975,0.2521583814072077,13.479999999999999,-1.2733333333333334,-0.09026194047063285,,,,,,,,,,,,3.9238662694472026,,,,,,,,,1666.935737704918,1654.55,1609.19,1721.8,61,0.01729536242763796,28.36999999999989,118.44688524590164,118.48,113.74,120.65,61,0.04850745599200845,5.609999999999999,0,0,0
