region,model_name,train_class,const,project_age_q,quarters_to_delivery,remaining_inventory_share,log_avg_price_sqm_q,log_total_lots,log_price_to_market_year_ratio,class_group_Комфорт,class_group_Неизвестно,class_group_Премиум,class_group_Эконом,class_group_Элитный,quarter_num_2,quarter_num_3,quarter_num_4,log_remaining_lots_feat,__alpha__
msk,NB_feature_remaining_lots,all_classes,3.8454210847869352,-0.11424965121775123,-0.22557011050563583,-0.10352205542963476,-0.30595194689640964,0.9264212123959324,0.004448096398544198,-0.07685875157981298,-0.5334345268743431,0.20239173512107692,-0.2108210235287592,0.1452234930480513,0.08072660393060542,0.2785994979166814,0.03355897531657825,0.10622427525073357,1.5
spb,NB_feature_remaining_lots,all_classes,3.92270833850774,0.08774312621644302,-0.16652424900100601,-0.11418697650165599,-0.11329820179737458,0.8790095346715513,-0.05122584313566095,-0.06887924985899416,-0.488603842310208,-0.13146302986205358,-0.1456707957864073,-0.15896574997239066,0.0666110011668928,0.186603308498868,-0.055913197002622275,0.022589205226458783,1.5
krd,NB_feature_remaining_lots,all_classes,2.7704880859051384,-0.14401317768235603,-0.9020372973015366,0.05228735651280706,0.0023159397549014967,0.6963235616429111,-0.037496922342279186,0.4378991593925058,,,0.3176824294313428,0.8056453805521161,0.17188185557484534,0.23606731668166492,0.02737753186900343,-0.1484247521432705,2.5
