position,model,feature,coefficient
4,baseline,mortgage_total_volume_mln_rub_q,-0.24648717406546836
4,baseline,mortgage_total_volume_mln_rub_q_log_return_q,-0.026569243306759915
4,baseline,imoex_max_q,-0.3451940972996405
4,baseline_plus_trend,__intercept__,6.4942572297077135
4,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.2244727286102059
4,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.0009083644519160636
4,baseline_plus_trend,rgbi_eoq,-0.0745822220527347
4,baseline_plus_trend,usd_rub_min_q,0.03466949629037176
4,baseline_plus_trend,key_rate_max_q,0.11317874069718291
4,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.010320846986728808
4,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,-0.027196410279987634
4,baseline_plus_trend,imoex_max_q,0.0029598121971869703
4,baseline_plus_trend,trend_3,0.16507777421403363
4,baseline_plus_trend,trend_6,0.13005082969310727
4,baseline_plus_trend,trend_10,0.12413561839815665
5,baseline,__intercept__,12.453633109763862
5,baseline,mortgage_avg_ticket_mln_rub_q,0.32568661936376664
5,baseline,subsidized_mortgage_2020_active_q,0.09730588703540999
5,baseline,rgbi_eoq,-0.6508369223341157
5,baseline,usd_rub_min_q,-0.46741577379457644
5,baseline,key_rate_max_q,0.2801750870582893
5,baseline,mortgage_total_volume_mln_rub_q,-0.13895612624289683
5,baseline,mortgage_total_volume_mln_rub_q_log_return_q,-0.02609754282354526
5,baseline,imoex_max_q,-0.11485681629965966
5,baseline_plus_trend,__intercept__,7.268897508999135
5,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.2288507807409796
5,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.0408940944289924
5,baseline_plus_trend,rgbi_eoq,-0.06009779402027642
5,baseline_plus_trend,usd_rub_min_q,0.004309401520557697
5,baseline_plus_trend,key_rate_max_q,0.16550922159977316
5,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.0074880013726262564
5,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,-0.032742067693613125
5,baseline_plus_trend,imoex_max_q,0.0022553255379706557
5,baseline_plus_trend,trend_3,0.15030606240657493
5,baseline_plus_trend,trend_6,0.108123294734745
5,baseline_plus_trend,trend_10,0.09244684350789642
6,baseline,__intercept__,12.564619224018173
6,baseline,mortgage_avg_ticket_mln_rub_q,0.3967303779394198
6,baseline,subsidized_mortgage_2020_active_q,0.10237344311461057
6,baseline,rgbi_eoq,-0.632671754692479
6,baseline,usd_rub_min_q,-0.8303174708234858
