position,model,feature,mean_abs_shap
4,baseline_plus_trend,key_rate_max_q,0.04820401515854004
4,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.0006216691808018113
4,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,0.0435025676372109
4,baseline_plus_trend,imoex_max_q,5.868446808845928e-05
4,baseline_plus_trend,trend_3,0.04991392446730038
4,baseline_plus_trend,trend_6,0.03360726535892543
4,baseline_plus_trend,trend_10,0.02694640378932914
5,baseline,mortgage_avg_ticket_mln_rub_q,0.271652714127536
5,baseline,subsidized_mortgage_2020_active_q,0.03402162127356687
5,baseline,rgbi_eoq,0.06707331628172915
5,baseline,usd_rub_min_q,0.05108895263896259
5,baseline,key_rate_max_q,0.11488344750813619
5,baseline,mortgage_total_volume_mln_rub_q,0.007964208815296846
5,baseline,mortgage_total_volume_mln_rub_q_log_return_q,0.037660152627460516
5,baseline,imoex_max_q,0.002065564618045135
5,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.19088268299121
5,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.014298039259252283
5,baseline_plus_trend,rgbi_eoq,0.006193499796692334
5,baseline_plus_trend,usd_rub_min_q,0.0004710213529995341
5,baseline_plus_trend,key_rate_max_q,0.06786566989738879
5,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.00042917148133922884
5,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,0.04724855803541915
5,baseline_plus_trend,imoex_max_q,4.055937456294964e-05
5,baseline_plus_trend,trend_3,0.051459514167022165
5,baseline_plus_trend,trend_6,0.0329853838847088
5,baseline_plus_trend,trend_10,0.02417391723894708
6,baseline,mortgage_avg_ticket_mln_rub_q,0.2728119859774263
6,baseline,subsidized_mortgage_2020_active_q,0.017896710138662408
6,baseline,rgbi_eoq,0.07668350341360493
6,baseline,usd_rub_min_q,0.08304541578410551
6,baseline,key_rate_max_q,0.09405875251904247
6,baseline,mortgage_total_volume_mln_rub_q,0.007760399626100614
6,baseline,mortgage_total_volume_mln_rub_q_log_return_q,0.041493643768412115
6,baseline,imoex_max_q,0.0015897064929306017
6,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.15889059551007698
6,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.005894050638466736
6,baseline_plus_trend,rgbi_eoq,0.005424238185454273
6,baseline_plus_trend,usd_rub_min_q,0.0009591509272914191
6,baseline_plus_trend,key_rate_max_q,0.061668788097289894
6,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.000417317965643721
6,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,0.05000976913467814
6,baseline_plus_trend,imoex_max_q,6.0477197401872806e-05
6,baseline_plus_trend,trend_3,0.045862627305154155
6,baseline_plus_trend,trend_6,0.031905444297192075
6,baseline_plus_trend,trend_10,0.0236481672039088
7,baseline,mortgage_avg_ticket_mln_rub_q,0.23583703702031497
7,baseline,subsidized_mortgage_2020_active_q,0.053403969003636295
7,baseline,rgbi_eoq,0.07887216748540161
7,baseline,usd_rub_min_q,0.0625177454669298
7,baseline,key_rate_max_q,0.08548053824826068
7,baseline,mortgage_total_volume_mln_rub_q,0.00795191983476048
7,baseline,mortgage_total_volume_mln_rub_q_log_return_q,0.040653250534730026
7,baseline,imoex_max_q,0.001866826621420636
7,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.14684691683726994
7,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.014119687152144561
7,baseline_plus_trend,rgbi_eoq,0.004826495895847221
7,baseline_plus_trend,usd_rub_min_q,7.059038028132561e-05
7,baseline_plus_trend,key_rate_max_q,0.05588912251895571
7,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.00039152831356797826
7,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,0.05062811243300235
7,baseline_plus_trend,imoex_max_q,4.3788157787596426e-05
7,baseline_plus_trend,trend_3,0.04557124573003684
7,baseline_plus_trend,trend_6,0.02906555735236904
7,baseline_plus_trend,trend_10,0.019207816501536874
8,baseline,mortgage_avg_ticket_mln_rub_q,0.17499718689535795
8,baseline,subsidized_mortgage_2020_active_q,0.0717781601211058
8,baseline,rgbi_eoq,0.022633278241804874
8,baseline,usd_rub_min_q,0.006073212819000593
8,baseline,key_rate_max_q,0.10542332627969295
8,baseline,mortgage_total_volume_mln_rub_q,0.0019286987113613337
8,baseline,mortgage_total_volume_mln_rub_q_log_return_q,0.04116055280724274
8,baseline,imoex_max_q,0.0002776050590564173
8,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.13749613124007629
8,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.029433726632646134
8,baseline_plus_trend,rgbi_eoq,0.004568364637467483
8,baseline_plus_trend,usd_rub_min_q,0.0006478136428250215
8,baseline_plus_trend,key_rate_max_q,0.0465927204596472
8,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.0005741620569168825
8,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,0.0518226520055687
8,baseline_plus_trend,imoex_max_q,8.436955593814592e-05
8,baseline_plus_trend,trend_3,0.03398746816244988
8,baseline_plus_trend,trend_6,0.020311584216711066
8,baseline_plus_trend,trend_10,0.01263023881919044
9,baseline,mortgage_avg_ticket_mln_rub_q,0.07397972753959556
9,baseline,subsidized_mortgage_2020_active_q,0.13226142842297897
9,baseline,rgbi_eoq,0.10129510510127064
9,baseline,usd_rub_min_q,0.03963548973396017
9,baseline,key_rate_max_q,0.04419330654707509
9,baseline,mortgage_total_volume_mln_rub_q,0.06146052706259985
9,baseline,mortgage_total_volume_mln_rub_q_log_return_q,0.041126864970389025
9,baseline,imoex_max_q,0.08038756494792441
9,baseline_plus_trend,mortgage_avg_ticket_mln_rub_q,0.085473987779868
9,baseline_plus_trend,subsidized_mortgage_2020_active_q,0.1312410822767242
9,baseline_plus_trend,rgbi_eoq,0.08703172286506815
9,baseline_plus_trend,usd_rub_min_q,0.010571664262944825
9,baseline_plus_trend,key_rate_max_q,0.02841823659033428
9,baseline_plus_trend,mortgage_total_volume_mln_rub_q,0.153394539139701
9,baseline_plus_trend,mortgage_total_volume_mln_rub_q_log_return_q,0.007806702263241832
9,baseline_plus_trend,imoex_max_q,0.06122693261764413
9,baseline_plus_trend,trend_3,0.1790803404603782
9,baseline_plus_trend,trend_6,0.026046707066609033
9,baseline_plus_trend,trend_10,0.15065779629122905
